Domain Code,Domain,Area Code (ISO3),Area,Element Code,Element,Item Code (FAO),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QCL","Crops and livestock products","AUT","Austria","5510","Production","549","Gooseberries","2000","2000","tonnes","1815","","Official data"
"QCL","Crops and livestock products","AUT","Austria","5510","Production","549","Gooseberries","2001","2001","tonnes","1693","","Official data"
"QCL","Crops and livestock products","AUT","Austria","5510","Production","549","Gooseberries","2002","2002","tonnes","1535","","Official data"
"QCL","Crops and livestock products","AUT","Austria","5510","Production","549","Gooseberries","2003","2003","tonnes","1536","","Official data"
"QCL","Crops and livestock products","AUT","Austria","5510","Production","549","Gooseberries","2004","2004","tonnes","1693","","Official data"
"QCL","Crops and livestock products","AUT","Austria","5510","Production","549","Gooseberries","2005","2005","tonnes","1657","","Official data"
"QCL","Crops and livestock products","AUT","Austria","5510","Production","549","Gooseberries","2006","2006","tonnes","1756","","Official data"
"QCL","Crops and livestock products","AUT","Austria","5510","Production","549","Gooseberries","2007","2007","tonnes","1867","","Official data"
"QCL","Crops and livestock products","AUT","Austria","5510","Production","549","Gooseberries","2008","2008","tonnes","1815","","Official data"
"QCL","Crops and livestock products","AUT","Austria","5510","Production","549","Gooseberries","2009","2009","tonnes","1654","","Official data"
"QCL","Crops and livestock products","AUT","Austria","5510","Production","549","Gooseberries","2010","2010","tonnes","68","","Official data"
"QCL","Crops and livestock products","AUT","Austria","5510","Production","549","Gooseberries","2011","2011","tonnes","97","","Official data"
"QCL","Crops and livestock products","AUT","Austria","5510","Production","549","Gooseberries","2012","2012","tonnes","75","","Official data"
"QCL","Crops and livestock products","AUT","Austria","5510","Production","549","Gooseberries","2013","2013","tonnes","76","","Official data"
"QCL","Crops and livestock products","AUT","Austria","5510","Production","549","Gooseberries","2014","2014","tonnes","80","","Official data"
"QCL","Crops and livestock products","AUT","Austria","5510","Production","549","Gooseberries","2015","2015","tonnes","84","","Official data"
"QCL","Crops and livestock products","AUT","Austria","5510","Production","549","Gooseberries","2016","2016","tonnes","53","","Official data"
"QCL","Crops and livestock products","AUT","Austria","5510","Production","549","Gooseberries","2017","2017","tonnes","62","","Official data"
"QCL","Crops and livestock products","AUT","Austria","5510","Production","549","Gooseberries","2018","2018","tonnes","","","Official data"
"QCL","Crops and livestock products","BEL","Belgium","5510","Production","549","Gooseberries","2000","2000","tonnes","200","","Official data"
"QCL","Crops and livestock products","BEL","Belgium","5510","Production","549","Gooseberries","2001","2001","tonnes","100","","Official data"
"QCL","Crops and livestock products","BEL","Belgium","5510","Production","549","Gooseberries","2002","2002","tonnes","100","","Official data"
"QCL","Crops and livestock products","BEL","Belgium","5510","Production","549","Gooseberries","2003","2003","tonnes","100","","Official data"
"QCL","Crops and livestock products","BEL","Belgium","5510","Production","549","Gooseberries","2004","2004","tonnes","100","","Official data"
"QCL","Crops and livestock products","BEL","Belgium","5510","Production","549","Gooseberries","2005","2005","tonnes","100","","Official data"
"QCL","Crops and livestock products","BEL","Belgium","5510","Production","549","Gooseberries","2006","2006","tonnes","100","","Official data"
"QCL","Crops and livestock products","BEL","Belgium","5510","Production","549","Gooseberries","2007","2007","tonnes","100","","Official data"
"QCL","Crops and livestock products","BEL","Belgium","5510","Production","549","Gooseberries","2008","2008","tonnes","100","","Official data"
"QCL","Crops and livestock products","BEL","Belgium","5510","Production","549","Gooseberries","2009","2009","tonnes","100","","Official data"
"QCL","Crops and livestock products","BEL","Belgium","5510","Production","549","Gooseberries","2010","2010","tonnes","121","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","BEL","Belgium","5510","Production","549","Gooseberries","2011","2011","tonnes","128","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","BEL","Belgium","5510","Production","549","Gooseberries","2012","2012","tonnes","90","F","FAO estimate"
"QCL","Crops and livestock products","BEL","Belgium","5510","Production","549","Gooseberries","2013","2013","tonnes","360","F","FAO estimate"
"QCL","Crops and livestock products","BEL","Belgium","5510","Production","549","Gooseberries","2014","2014","tonnes","385","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","BEL","Belgium","5510","Production","549","Gooseberries","2015","2015","tonnes","770","","Official data"
"QCL","Crops and livestock products","BEL","Belgium","5510","Production","549","Gooseberries","2016","2016","tonnes","570","","Official data"
"QCL","Crops and livestock products","BEL","Belgium","5510","Production","549","Gooseberries","2017","2017","tonnes","380","","Official data"
"QCL","Crops and livestock products","BEL","Belgium","5510","Production","549","Gooseberries","2018","2018","tonnes","","","Official data"
"QCL","Crops and livestock products","CZE","Czechia","5510","Production","549","Gooseberries","1993","1993","tonnes","10284","","Official data"
"QCL","Crops and livestock products","CZE","Czechia","5510","Production","549","Gooseberries","1994","1994","tonnes","9919","","Official data"
"QCL","Crops and livestock products","CZE","Czechia","5510","Production","549","Gooseberries","1995","1995","tonnes","10413","","Official data"
"QCL","Crops and livestock products","CZE","Czechia","5510","Production","549","Gooseberries","1996","1996","tonnes","10062","","Official data"
"QCL","Crops and livestock products","CZE","Czechia","5510","Production","549","Gooseberries","1997","1997","tonnes","8532","","Official data"
"QCL","Crops and livestock products","CZE","Czechia","5510","Production","549","Gooseberries","1998","1998","tonnes","8805","","Official data"
"QCL","Crops and livestock products","CZE","Czechia","5510","Production","549","Gooseberries","1999","1999","tonnes","8350","","Official data"
"QCL","Crops and livestock products","CZE","Czechia","5510","Production","549","Gooseberries","2000","2000","tonnes","6824","","Official data"
"QCL","Crops and livestock products","CZE","Czechia","5510","Production","549","Gooseberries","2001","2001","tonnes","4816","","Official data"
"QCL","Crops and livestock products","CZE","Czechia","5510","Production","549","Gooseberries","2002","2002","tonnes","4091","","Official data"
"QCL","Crops and livestock products","CZE","Czechia","5510","Production","549","Gooseberries","2003","2003","tonnes","4046","","Official data"
"QCL","Crops and livestock products","CZE","Czechia","5510","Production","549","Gooseberries","2004","2004","tonnes","4009","","Official data"
"QCL","Crops and livestock products","CZE","Czechia","5510","Production","549","Gooseberries","2005","2005","tonnes","3568","","Official data"
"QCL","Crops and livestock products","CZE","Czechia","5510","Production","549","Gooseberries","2006","2006","tonnes","2092","","Official data"
"QCL","Crops and livestock products","CZE","Czechia","5510","Production","549","Gooseberries","2007","2007","tonnes","3087","","Official data"
"QCL","Crops and livestock products","CZE","Czechia","5510","Production","549","Gooseberries","2008","2008","tonnes","3021","","Official data"
"QCL","Crops and livestock products","CZE","Czechia","5510","Production","549","Gooseberries","2009","2009","tonnes","3326","","Official data"
"QCL","Crops and livestock products","CZE","Czechia","5510","Production","549","Gooseberries","2010","2010","tonnes","2811","","Official data"
"QCL","Crops and livestock products","CZE","Czechia","5510","Production","549","Gooseberries","2011","2011","tonnes","2832","","Official data"
"QCL","Crops and livestock products","CZE","Czechia","5510","Production","549","Gooseberries","2012","2012","tonnes","2620","","Official data"
"QCL","Crops and livestock products","CZE","Czechia","5510","Production","549","Gooseberries","2013","2013","tonnes","2246","","Official data"
"QCL","Crops and livestock products","CZE","Czechia","5510","Production","549","Gooseberries","2014","2014","tonnes","2566","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","CZE","Czechia","5510","Production","549","Gooseberries","2015","2015","tonnes","2477","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","CZE","Czechia","5510","Production","549","Gooseberries","2016","2016","tonnes","23","","Official data"
"QCL","Crops and livestock products","CZE","Czechia","5510","Production","549","Gooseberries","2017","2017","tonnes","23","","Official data"
"QCL","Crops and livestock products","CZE","Czechia","5510","Production","549","Gooseberries","2018","2018","tonnes","","","Official data"
"QCL","Crops and livestock products","F51","Czechoslovakia","5510","Production","549","Gooseberries","1961","1961","tonnes","5000","F","FAO estimate"
"QCL","Crops and livestock products","F51","Czechoslovakia","5510","Production","549","Gooseberries","1962","1962","tonnes","4000","F","FAO estimate"
"QCL","Crops and livestock products","F51","Czechoslovakia","5510","Production","549","Gooseberries","1963","1963","tonnes","5000","F","FAO estimate"
"QCL","Crops and livestock products","F51","Czechoslovakia","5510","Production","549","Gooseberries","1964","1964","tonnes","4828","","Official data"
"QCL","Crops and livestock products","F51","Czechoslovakia","5510","Production","549","Gooseberries","1965","1965","tonnes","4837","","Official data"
"QCL","Crops and livestock products","F51","Czechoslovakia","5510","Production","549","Gooseberries","1966","1966","tonnes","5983","","Official data"
"QCL","Crops and livestock products","F51","Czechoslovakia","5510","Production","549","Gooseberries","1967","1967","tonnes","5880","","Official data"
"QCL","Crops and livestock products","F51","Czechoslovakia","5510","Production","549","Gooseberries","1968","1968","tonnes","6673","","Official data"
"QCL","Crops and livestock products","F51","Czechoslovakia","5510","Production","549","Gooseberries","1969","1969","tonnes","6857","","Official data"
"QCL","Crops and livestock products","F51","Czechoslovakia","5510","Production","549","Gooseberries","1970","1970","tonnes","7730","","Official data"
"QCL","Crops and livestock products","F51","Czechoslovakia","5510","Production","549","Gooseberries","1971","1971","tonnes","5687","","Official data"
"QCL","Crops and livestock products","F51","Czechoslovakia","5510","Production","549","Gooseberries","1972","1972","tonnes","5242","","Official data"
"QCL","Crops and livestock products","F51","Czechoslovakia","5510","Production","549","Gooseberries","1973","1973","tonnes","7391","","Official data"
"QCL","Crops and livestock products","F51","Czechoslovakia","5510","Production","549","Gooseberries","1974","1974","tonnes","6826","","Official data"
"QCL","Crops and livestock products","F51","Czechoslovakia","5510","Production","549","Gooseberries","1975","1975","tonnes","7774","","Official data"
"QCL","Crops and livestock products","F51","Czechoslovakia","5510","Production","549","Gooseberries","1976","1976","tonnes","5861","","Official data"
"QCL","Crops and livestock products","F51","Czechoslovakia","5510","Production","549","Gooseberries","1977","1977","tonnes","3842","","Official data"
"QCL","Crops and livestock products","F51","Czechoslovakia","5510","Production","549","Gooseberries","1978","1978","tonnes","6550","","Official data"
"QCL","Crops and livestock products","F51","Czechoslovakia","5510","Production","549","Gooseberries","1979","1979","tonnes","7494","","Official data"
"QCL","Crops and livestock products","F51","Czechoslovakia","5510","Production","549","Gooseberries","1980","1980","tonnes","9600","","Official data"
"QCL","Crops and livestock products","F51","Czechoslovakia","5510","Production","549","Gooseberries","1981","1981","tonnes","8545","","Official data"
"QCL","Crops and livestock products","F51","Czechoslovakia","5510","Production","549","Gooseberries","1982","1982","tonnes","11516","","Official data"
"QCL","Crops and livestock products","F51","Czechoslovakia","5510","Production","549","Gooseberries","1983","1983","tonnes","13621","","Official data"
"QCL","Crops and livestock products","F51","Czechoslovakia","5510","Production","549","Gooseberries","1984","1984","tonnes","12421","","Official data"
"QCL","Crops and livestock products","F51","Czechoslovakia","5510","Production","549","Gooseberries","1985","1985","tonnes","12596","","Official data"
"QCL","Crops and livestock products","F51","Czechoslovakia","5510","Production","549","Gooseberries","1986","1986","tonnes","12193","","Official data"
"QCL","Crops and livestock products","F51","Czechoslovakia","5510","Production","549","Gooseberries","1987","1987","tonnes","13521","","Official data"
"QCL","Crops and livestock products","F51","Czechoslovakia","5510","Production","549","Gooseberries","1988","1988","tonnes","13029","","Official data"
"QCL","Crops and livestock products","F51","Czechoslovakia","5510","Production","549","Gooseberries","1989","1989","tonnes","15043","","Official data"
