6-26主要出口商品数量和金额
MajorExportCommoditiesinQuantityandValue
单位:万美元
Unit:USD10000
商品,Commodities,单位,Unit,数量
Quantity,,金额
Value,
中央处理部件,CentralProcessingUnit,万台,10000sets,3684,3526,1677077,1541680
存储部件,StorageUnit,万台,10000sets,27343,26416,1727975,1734922
自动数据处理设备的零件、
附件,PartsandAccessoriesofAutomaticData
ProcessingEquipment,吨,ton,,603534,,3061813
液晶监视器,LCDMonitor,万台,10000sets,,9843,,977197
电工器材,ElectricalEquipment,,,,,,10120002
变压器,Transformer,万个,10000units,285236,286169,333592.8,325826
原电池,PrimaryCellsandBatteries,亿个,100millionunits,299,309,211760,226244
蓄电池,ElectricAccumulators,万个,10000units,272017,286250,1643270,1953911
锂离子蓄电池,Lithium-ionBattery,万个,10000units,,222052,,1593936
电气控制装置,ElectricalControlDevice,,,,,,2660778
高压开关及控制装置,HighVoltageSwitchandControlDevice,,,,,,198883
低压开关及控制装置,LowVoltageSwitchandControlDevice,,,,,,2461894
电线及电缆,WiresandCables,万吨,10000tons,,207,,1846023
手机,MobilePhone,万台,10000sets,,96595,,12545218
家用电器,HouseholdElectricAppliances,万台,10000sets,,339056,,6612926
电扇,Fans,万台,10000sets,75164,36608,601008,474426
空调,AirConditioner,万台,10000sets,,4720,,686766
冰箱,Refrigerator,万台,10000sets,5516,6954,758131,820454
洗衣机,WashingMachine,万台,10000sets,2595,2154,345916,266938
吸尘器,VacuumCleaner,万台,10000sets,,14778,,573739
微波炉,MicrowaveOven,万个,10000units,5980,6741,290148,323723
音视频设备及其零件,AudioandVideoEquipmentandItsParts,,,,,,5463977
电视摄像机,数字照相机
及视频摄录一体机,TVCamera,DigitalCameraandVideo
Recorder,万台,10000sets,,52888,,1078888
数字照相机,Digitalcamera,万台,10000sets,,1807,,266925
无线电广播接收设备,RadioBroadcastingReceivingEquipment,万台,10000sets,,22729,,360421
液晶电视机,LCDTV,万台,10000sets,9360,9994,1251608,1343177
音视频设备的零件,PartsofAudioandVideoEquipment,,,,,,1435977
有机发光二极管显示屏,OrganicLightEmittingDiodeDisplay,吨,ton,,17858,,149444
电子元件,ElectronicComponent,,,,,,20767937
印刷电路,PrintedCircuit,亿块,100millionunits,327,363,1464918,1510427
二极管及类似半导体器件,DiodeandSemiConductors,亿个,100millionunits,5349,5796,3209987,3451785
太阳能电池,SolarCell,万个,10000units,245282,272305,1916823,1979240
集成电路,IntegratedCircuits,亿个,100millionunits,2187,2598,10157653,11649597
,,,,,,,
,,,,,,,
6-26续表3Continued3
单位:万美元
Unit:USD10000
商品,Commodities,单位,Unit,数量
Quantity,,金额
Value,
,,,,2019,2020,2019,2020
集装箱,Containers,万个,10000units,242,198,668484,736707
摩托车,Motorcycle,万辆,10000units,2301,2830,764726,859901
#内燃机摩托车,InternalCombustionEngineMotorcycle,万辆,10000units,,970,,501496
电动摩托车及脚踏车,ElectricMotorcycleandBicycle,万辆,10000units,,1793,,350569
自行车,Bicycles,万辆,10000units,5251,6030,284680,364306
摩托车及自行车的零配件,SparePartsforMotorcyclesandBicycles,,,,,721348,866930
汽车包含底盘,Automobileincludingchassis,万辆,10000units,,108,,1571956
#乘用车,PassengerCar,辆,unit,,804983,,897745
商用车,CommercialVehicle,辆,unit,,276353,,674211
客车十座及以上,PassengerCarstenseatsandabove,辆,unit,,40702,,188250
货车,Trucks,辆,unit,206983,189854,298789,271588
专用汽车,SpecialPurposeVehicle,辆,unit,,12611,,87421
#汽车零配件,AutoParts,,,,,5303816,5650191
车用发动机,VehicleEngine,万台,10000sets,,330,,173262
汽车轮胎,AutomobileTire,吨,ton,,5397159,,1163388
婴孩车及其零件,BabyCarriagesandParts,吨,ton,,185390,,126756
船舶,Shipping,艘,unit,6410,5345,2029891,1719339
#液货船,Tanker,艘,unit,,104,,364459
集装箱船,ContainerShip,艘,unit,66,49,280682,203077
散货船,BulkCargoShip,艘,unit,223,247,613674,781245
眼镜及其零件,GlassesandPartsThereof,,,,,560631,537404
液晶显示板,LiquidCrystalDisplayPanel,万个,10000units,150780,126746,2141713,1979000
计量检测分析自控仪器
及器具,AutomaticControlInstrumentsandApparatus
forMeasurement,DetectionandAnalysis,吨,ton,,,,2521925
#分析仪器,Analysisinstrument,台,set,,76836960,,184895
医疗仪器及器械,MedicalInstrumentsandAppliances,,,,,1290543,1813493
钟表及其零件,ClocksandWatchesandTheirParts,,,,,,363262
#手表,WristWatches,万只,10000units,64425,36218,237045,164587
灯具、照明装置及其零件,Lamps,LightingDevicesandTheirParts,,,,,,3760369
游戏机及其零附件,GameConsoleandItsAccessories,吨,ton,,490647,,1055328
高新技术产品,NewandHigh-techProduct,,,,,73071384,77625474
生物技术,Biotechnology,,,,,98110,120212
生命科学技术,LifeScienceandTechnology,,,,,3339538,4109177
光电技术,PhotoelectricTechnology,,,,,2746776,2684109
计算机与通信技术,ComputerandCommunicationTechnology,,,,,46771939,48919142
电子技术,ElectronicTechnique,,,,,16608961,18369133
计算机集成制造技术,ComputerIntegratedManufacturingTechnology,,,,,1850354,1963799
材料技术,MaterialTechnology,,,,,691476,710211
航空航天技术,AviationandAerospaceTechnology,吨,ton,,,884075,646331
其他技术,OtherTechnologies,,,,,,103361
电动载人汽车,Electricmannedvehicle,辆,unit,254546,222843,136824,323241
混合动力客车10座及以上,HybridElectricBus10seatsandabove,辆,unit,,82,,859
纯电动客车10座及以上,PureElectricBus10seatsandabove,辆,unit,,2478,,62225
非插电式混合动力乘用车,NonPluginHybridPassengerVehicle,辆,unit,,1698,,4995
插电式混合动力乘用车,PluginHybridPassengerCar,辆,unit,,24680,,97274
纯电动乘用车,PureElectricPassengerCar,辆,unit,,193905,,157887
文化产品,CulturalProducts,,,,,9989498,9714757
