Area,AreaName,Population
Unit,,人
迁安市,Qian'an,775247
丹东市,Dandong,767943
汨罗市,Miluo,763430
濮阳市,Puyang,755274
三河市,Sanhe,754889
鸡西市,Jixi,751739
佳木斯市,Jimusi,750892
玉溪市,Yuxi,750232
遵化市,Zunhua,750149
桐城市,Tongcheng,749880
海伦市,Hailun,747294
邹平市,Zouping,744938
仁怀市,Renhuai,743784
灵宝市,Yima,742530
莱西市,Laixi,741615
安庆市,Anqing,735081
登封市,Dengfeng,734488
济源市,Jiyuan,731121
阜新市,Fuxin,728327
西昌市,Xichang,725843
沅江市,Yuanjiang,722589
嵊州市,Shengzhou,719436
荥阳市,Xingyang,718623
乐陵市,Laoling,718230
舟山市,Zhoushan,714644
运城市,Yuncheng,711607
北海市,Beihai,708997
扶余市,Fuyu,708356
海宁市,Haining,708038
桐乡市,Tongxiang,707667
瑞金市,Ruijin,707387
德阳市,Deyang,700826
涿州市,Zhuozhou,698733
铜川市,Tongchuan,695915
云浮市,Yunfu,694602
腾冲市,Tengchong,690827
邵阳市,Shaoyang,690244
阳泉市,Yangquan,688629
开平市,Kaiping,686741
讷河市,Nehe,680475
大石桥市,Dashiqiao,679417
延安市,Yan'an,678997
朔州市,Shuozhou,678891
福安市,Fu'an,676246
盖州市,Gaizhou,673529
池州市,Chizhou,670695
三亚市,Sanya,669346
四平市,Siping,667553
漳州市,Zhangzhou,665750
喀什市,Kashgar,664216
靖西市,Jingxi,664077
随州市,Suizhou,661032
鹤壁市,Hebi,660692
霸州市,Bazhou,659683
曲阜市,Qufu,658690
崇州市,Chongzhou,657925
兰溪市,Lanxi,654835
新民市,Xinmin,653168
荣成市,Rongcheng,651918
靖江市,Jingjiang,650036
邛崃市,Qionglai,649899
大理市,Dali,648341
荆门市,Jingmen,648062
贵溪市,Guixi,645815
周口市,Zhoukou,645245
明光市,Mingguang,643400
攀枝花市,Panzhihua,641899
鹰潭市,Yingtan,641006
偃师市,Yanshi,637276
龙口市,Longkou,633564
万宁市,Wanning,632749
应城市,Yingcheng,632403
海阳市,Haiyang,631761
咸宁市,Xianning,631096
天长市,Tianchang,631080
三门峡市,Sanmenxia,630367
辛集市,Xinji,629495
凌源市,Lingyuan,629225
高碑店市,Gaobeidian,627965
泊头市,Potou,625187
永康市,Yongkang,621111
都江堰市,Dujiangyan,620520
雅安市,Yaan,617754
黄石市,Huangshi,616998
娄底市,Loudi,613750
江山市,Jiangshan,613306
朝阳市,Chaoyang,611040
石首市,Shishou,610048
福鼎市,Fuding,606129
安陆市,Anlu,605017
文昌市,Wenchang,604650
樟树市,Zhangshu,604594
陇南市,Longnan,601803
沧州市,Cangzhou,601644
吴忠市,Wuzhong,601362
承德市,Chengde,600381
吉安市,Ji'an,599988
兴平市,Xingping,599971
防城港市,Fangchenggang,599761
伊宁市,Yining,598666
广汉市,Guanghan,597688
舒兰市,Shulan,593140
石河子市,Shihezi,591556
东港市,Donggang,587669
鹤岗市,Hegang,586257
句容市,Jurong,585251
凯里市,Kaili,584840
仪征市,Yizheng,584241
昌邑市,Changyi,582647
梅河口市,Meihekou,582345
黄骅市,Huanghua,578259
兴仁市,Xingren,578157
晋州市,Jinzhou,574609
滦州市,Luanzhou,568364
滁州市,Chuzhou,567220
阿克苏市,Aksu,565880
万源市,Wanyuan,563148
松原市,Songyuan,558573
商洛市,Shangluo,558196
延吉市,Yanji,557839
招远市,Zhaoyuan,556813
宜城市,Yicheng,556227
清镇市,Qingzhen,555703
铜仁市,Tongren,553577
弥勒市,Mile,552278
深州市,Shenzhou,551733
忻州市,Xinzhou,549948
尚志市,Shangzhi,549690
开原市,Kaiyuan,549657
建瓯市,Jianou,546010
楚雄市,Chuxiong,544302
连州市,Lianzhou,543703
卫辉市,Weihui,542831
凤城市,Fengcheng,542584
临湘市,Linxiang,541864
禹城市,Yucheng,540922
北票市,Beipiao,540469
文山市,Wenshan,539512
张家界市,Zhangjiajie,537550
乳山市,Rushan,536051
赤壁市,Chibi,529870
宁德市,Ningde,528552
乐昌市,Lechang,527742
平凉市,Pingliang,526718
琼海市,Qionghai,524926
平果市,Pingguo,524590
兴城市,Xingcheng,523047
巴彦淖尔市,Bayan nur,518714
张掖市,Zhangye,517581
白山市,Baishan,516971
新乐市,Xinle,516612
广德市,Guangde,516569
都匀市,Duyun,516296
太仓市,Taicang,510527
建德市,Jiande,509901
老河口市,Laohekou,508546
平湖市,Pinghu,508023
栖霞市,Qixia,505022
南宫市,Nangong,503452
恩平市,Enping,503297
汕尾市,Shanwei,500222
白银市,Baiyin,496540
磐石市,Panshi,495231
沁阳市,Qinyang,493792
绵竹市,Mianzhu,492757
凌海市,Linghai,492229
洪江市,Hongjiang,492213
南雄市,Nanxiong,491275
孝义市,Xiaoyi,489304
北镇市,Beizhen,489194
高平市,Gaoping,486192
库尔勒市,Korla,483574
原平市,Yuanping,481901
四会市,Sihui,481424
白城市,Baicheng,478663
景德镇市,Jingdezhen,475677
平泉市,Pingquan,473706
枝江市,Zhijiang,473625
黄山市,Huangshan,470456
定西市,Dingxi,469330
固原市,Guyuan,466884
东方市,Dongfang,465194
沙河市,Shahe,463649
当阳市,Dangyang,463257
七台河市,Qitaihe,461317
神木市,Shenmu,460259
瑞昌市,Ruichang,457462
丹江口市,Danjiangkou,457015
双鸭山市,Shuangyashan,455066
富锦市,Fujin,450525
敦化市,Dunhua,446242
介休市,Jiexiu,443705
蒙自市,Mengzi,443445
永济市,Yongji,442186
安达市,Anda,442170
辽源市,Liaoyuan,441667
石嘴山市,Shizuishan,437659
乌海市,Wuhai,437652
玉环市,Yuhuan,437127
汾阳市,Fenyang,434615
景洪市,Jinghong,432478
哈密市,Hami,432246
通化市,Tonghua,429707
灯塔市,Dengta,429080
峨眉山市,Emeishan,425283
什邡市,Shifang,422300
丽水市,Lishui,421031
伊春市,Yichun,420035
酒泉市,Jiuquan,419075
中卫市,Zhongwei,416847
铁岭市,Tieling,416215
许昌市,Xuchang,414111
和田市,Hetian,413292
海东市,Haidong,413016
晋城市,Jincheng,411582
北安市,Beian,411372
桦甸市,Huadian,409378
芒市,Mangshi,409358
蛟河市,Jiaohe,408110
怀化市,Huaihua,405131
宁安市,Ning'an,404561
安国市,Anguo,404457
洮南市,Taonan,402601
扎兰屯市,ZhaLanTun,401271
河津市,Hejing,400542
昌吉市,Changji,399800
庆阳市,Qingyang,398464
韩城市,Hancheng,394178
鹤山市,Heshan,386620
双辽市,Shuangliao,386296
荔浦市,Lipu,385046
密山市,Mishan,384864
宜都市,Yidu,384167
孟州市,Mengzhou,382341
龙港市,Longgang,382085
宁国市,Ningguo,381656
崇左市,Chongzuo,381304
个旧市,Gejiu,376428
百色市,Baise,375042
呼伦贝尔市,Hulunbuir,372149
大安市,Daan,371692
资兴市,Zixing,371200
冷水江市,Lengshuijiang,363043
石狮市,Shishi,357353
黄冈市,Huanggang,355024
海林市,Hailin,353054
华蓥市,Huaying,350325
福泉市,Fuan,341769
舞钢市,Wugang,338657
龙南市,Longnan,337146
河源市,Heyuan,336163
德兴市,Dexing,334186
临沧市,Lincang,332740
五大连池市,Wudalianchi,330259
永安市,Yong'an,327916
拉萨市,Lasa,322084
乌兰浩特市,Ulanhot,321170
赤水市,Chishui,318995
鄂尔多斯市,Ordos,318438
乌兰察布市,Ulanqab,317284
吉首市,Jishou,315220
牙克石市,Yakeshi,315130
克拉玛依市,Karamay,313959
丰镇市,Fengzhen,306708
霍州市,Huozhou,304922
邵武市,Shaowu,302186
三明市,Sanming,294480
怀仁市,Huairen,293787
漳平市,Zhangping,291455
龙泉市,Longquan,288847
吕梁市,Lvliang,287925
吐鲁番市,Turpan,287440
奎屯市,Kuitun,286894
开远市,Kaiyuan,286291
阿图什市,Atushi,285321
临夏市,Linxia,283720
安宁市,Anning,283593
铁力市,Tieli,282166
扬中市,Yangzhong,281037
庐山市,Lushan,278459
青铜峡市,Qingtongxia,276377
虎林市,Hulin,271568
穆棱市,Muling,263295
博乐市,Bole,259078
灵武市,Lingwu,256311
武夷山市,Wuyishan,247041
普洱市,Puer,244608
华阴市,Huayin,238554
侯马市,Houma,238130
阿勒泰市,Aletai,233067
津市市,Jinshi,230017
珲春市,Hunchun,225501
调兵山市,Diaobingshan,217566
乌苏市,Wusu,212758
古交市,Gujiao,212734
嘉峪关市,Jiayuguan,210848
金昌市,Jinchang,210275
集安市,Ji'an,207807
阿拉尔市,Alaer,203777
东宁市,Dongning,200398
锡林浩特市,Xilin hot,199847
华亭市,Huating,191571
井冈山市,Jinggangshan,190315
泸水市,Lushui,188165
黑河市,Heihe,181485
图木舒克市,Tumushuke,175144
同江市,Tongjiang,174785
塔城市,Tacheng,163532
丽江市,Lijiang,161707
阜康市,Fukang,160576
东兴市,Dongxing,160181
和龙市,Longjing,160066
玉门市,Yumen,156818
香格里拉市,Xianggelila,152148
临江市,Linjiang,150417
义马市,Lushi,149815
龙井市,Longjing,147375
瑞丽市,Ruili,145029
敦煌市,Dunhuang,143854
格尔木市,Gedongmu,138274
合山市,Heshan,132272
根河市,Genhe,127217
日喀则市,Rikaze,127157
共青城市,Gongqingcheng,123515
昌都市,Changdu,122891
韶山市,Shaoshan,120256
凭祥市,Pingxiang,117127
玉树市,Yushu,114268
那曲市,Naqu,112947
铁门关市,Tiemenguan,112660
水富市,Shuifu,108337
康定市,Kangding,106343
图们市,Tumen,104556
五指山市,Wuzhishan,104369
五家渠市,Wujiaqu,98095
合作市,Hezuo,91315
满洲里市,Manzhouli,88239
霍林郭勒市,Holingol,83513
抚远市,Fuyuan,82219
额尔古纳市,Erguna,77947
德令哈市,Delingha,73338
绥芬河市,Suifenhe,68507
山南市,Shannan,67363
霍尔果斯市,Huoerguosi,65639
茫崖市,Mangya,54771
林芝市,Linzhi,53900
马尔康市,Maerkang,53138
阿尔山市,Arxan,43380
二连浩特市,Erenhot,35935
阿拉山口市,Alashankou,1824
三沙市,Sansha,825
