Area,Province,行政区域面积,乡,镇,街道办事处,户籍人口,地区生产总值,第一产业增加值,第二产业增加值,第三产业增加值,地方一般公共预算收入,地方一般公共预算支出,住户储蓄存款余额,年末金融机构各项贷款余额,设施农业种植占地面积,油料产量,棉花产量,规模以上工业企业,固定电话用户,普通中学在校学生,小学在校学生,医疗卫生机构床位,提供住宿的社会工作机构,提供住宿的社会工作机构床位
Unit,省份,平方公里,个,个,个,人,万元,万元,万元,万元,万元,万元,万元,万元,公顷,吨,吨,个,户,人,人,床,个,床
Remark,
永胜县,云南省,4925,6,9,,405733,1041005,285415,359481,396109,45740,339147,1146811,974700,273,3560,,19,3320,16963,23282,1363,4,302,,
华坪县,云南省,2200,4,4,,161766,742056,100888,362398,278770,26800,182600,766388,577263,137,954,,22,4601,8402,11243,1177,4,883,,
宁蒗彝族自治县,云南省,6026,11,4,,280345,673033,122039,200450,350544,28706,386016,508703,545505,29,125,,7,2197,18528,24530,1173,3,310,,
思茅区,云南省,4093,2,4,1,244608,2241116,209151,670888,1361077,92039,271775,1799921,4454153,199,716,,44,52000,22104,30467,5137,6,689,,
宁洱哈尼族彝族自治县,云南省,3666,3,6,,190471,672363,174084,177900,320379,51403,169384,520633,480195,117,1896,,22,23644,7990,11944,1034,14,798,,
墨江哈尼族自治县,云南省,5289,3,12,,369746,854487,244180,173688,436619,37899,308246,564295,767935,11,3366,2,12,3936,15028,22339,1680,2,380,,
景东彝族自治县,云南省,4532,3,10,,362984,1099931,364564,180614,554753,38995,285144,726671,803835,44,4405,,11,13700,15860,22550,2022,6,812,,
景谷傣族彝族自治县,云南省,7777,4,6,,320581,1218671,403548,290863,524260,52168,271593,621879,628266,,3659,,25,11709,14909,23393,1609,16,920,,
镇沅彝族哈尼族拉祜族自治县,云南省,4148,1,8,,213081,886102,290678,227465,367959,40224,210419,496933,525686,,2847,,13,8645,10237,14606,663,6,546,,
江城哈尼族彝族自治县,云南省,3544,2,5,,118219,503768,136055,111073,256640,11493,189199,235758,368741,99,476,,14,7242,6384,9697,784,2,120,,
孟连傣族拉祜族佤族自治县,云南省,1893,2,4,,132974,516768,172649,63508,280611,17009,193494,591551,445571,2,723,,8,4621,5190,13291,648,1,88,,
澜沧拉祜族自治县,云南省,8807,15,5,,491431,1200717,305207,343004,552506,53266,580076,698147,1103907,57,3115,1,17,12567,15025,36193,2182,6,372,,
西盟佤族自治县,云南省,1354,2,5,,95751,260250,51201,47206,161843,6333,174214,123828,158527,23,254,,3,4609,4107,7803,462,1,76,,
临翔区,云南省,2557,7,1,2,332784,1702010,244890,374980,1082140,88766,362408,1163188,2555707,55,14500,,33,33567,30956,29785,4535,10,514,,
凤庆县,云南省,3324,5,8,,441780,1472651,554760,366371,551520,61701,372000,690416,1008337,20,2402,,20,72139,20970,32750,2116,13,1030,,
云 县,云南省,3659,5,7,,442206,1309020,453407,353221,502392,56343,300086,794930,636235,33,2520,,35,11075,21121,33753,1883,9,750,,
永德县,云南省,3220,7,3,,364470,832493,251088,199176,382229,32708,273329,545760,450231,58,1186,,13,13146,18513,29708,1754,3,207,,
镇康县,云南省,2529,4,3,,185199,569257,147188,157824,264245,33918,223016,444148,347867,,242,,17,1700,10598,19846,1183,4,322,,
双江拉祜族佤族布朗族傣族自治县,云南省,2157,4,2,,178223,597354,168028,140853,288473,30917,248059,297174,487176,94,2220,,20,8780,8819,15078,786,9,470,,
耿马傣族佤族自治县,云南省,3728,5,4,,298580,1214701,451894,313517,449290,47402,326400,623195,506832,160,2027,,28,11693,14542,28158,1447,7,440,,
沧源佤族自治县,云南省,2446,6,4,,172151,515706,152139,132434,231133,33566,266318,264714,306143,2,684,,15,7052,7842,14910,860,9,364,,
楚雄市,云南省,4433,3,12,,544302,4851437,402600,2436414,2012423,261688,577666,2730768,4886068,280,11183,,78,37059,41024,37533,6337,18,1035,,
双柏县,云南省,3888,3,5,,151790,609713,162355,200339,247019,27575,181099,387459,360096,588,2683,,24,3114,6582,7775,681,7,590,,
牟定县,云南省,1450,3,4,,202630,776425,182176,317903,276346,39728,187296,497254,479244,596,9494,,27,3984,6530,7893,936,8,445,,
南华县,云南省,2343,4,6,,242495,969990,235312,327809,406869,55876,223944,551466,606928,205,5215,,26,3735,9975,14486,1207,12,590,,
姚安县,云南省,1699,3,6,,210830,742889,234728,204390,303771,35660,196100,541196,379341,248,7069,,21,3711,6355,9103,1202,8,710,,
大姚县,云南省,4031,4,8,,280851,1094738,298914,401015,394809,60369,256969,669368,660650,277,3321,,34,5315,12276,14550,1481,17,1355,,
永仁县,云南省,2150,4,3,,105904,550105,136521,167379,246205,36390,160648,300561,329733,290,2826,,21,3271,4074,6080,579,8,388,,
元谋县,云南省,2026,7,3,,218472,961054,249051,297991,414012,36873,203649,636064,581786,1291,1978,,43,6285,8960,14162,1156,22,1340,,
武定县,云南省,3322,4,7,,281444,1083660,263166,347982,472512,45585,306361,703443,812457,59,4835,,30,5017,13105,18485,1627,12,1659,,
禄丰县,云南省,3631,3,11,,421591,2081600,454509,757721,869370,93028,321289,1278942,1296944,295,15506,,45,9990,19640,22858,1996,16,1348,,
个旧市,云南省,1587,2,5,3,376428,3390952,222086,1728973,1439893,133966,348493,2216374,2580801,172,1619,,88,19300,21666,31530,4141,13,1321,,
开远市,云南省,1940,3,2,2,286291,2692403,280206,1057398,1354799,160666,362268,1543481,1599031,886,1514,,84,61160,16533,26120,4575,17,2448,,
蒙自市,云南省,2228,3,5,5,443445,3908458,370957,1637129,1900372,160702,398510,2365682,4909017,2374,2663,,45,12488,29690,46928,2758,4,384,,
弥勒市,云南省,4004,2,10,,552278,4420010,446511,2242950,1730549,194470,409443,1690875,2017307,,2207,,57,15900,31874,41188,2195,13,1722,,
屏边苗族自治县,云南省,1844,3,4,,161107,610411,106999,229019,274393,17599,184314,311068,315305,5,1131,,16,2688,6371,11721,738,5,250,,
建水县,云南省,3782,6,8,,548694,2240075,467863,519015,1253197,143480,451409,2210815,1491649,218,2405,,24,10219,47055,42066,3823,5,430,,
石屏县,云南省,3042,2,7,,317126,1330240,365097,475876,489267,60489,292847,1183512,685900,1055,2443,,34,5353,15552,23873,1785,12,370,,
泸西县,云南省,1674,3,5,,450968,1522895,318604,373416,830875,105520,290962,1210376,902998,3466,12146,,45,7845,26795,38598,2639,10,820,,
元阳县,云南省,2212,11,3,,460443,836261,207838,182720,445703,37307,386808,500950,494886,1320,1678,,9,6296,22861,47342,1100,5,640,,
红河县,云南省,2029,8,5,,357233,704780,188363,154318,362099,24741,301490,404253,304398,,2165,,12,2777,19491,41753,1115,10,364,,
金平苗族瑶族傣族自治县,云南省,3677,9,4,,396137,890071,184501,317566,388004,20306,381379,521353,330951,,1361,,18,2907,23014,34651,2524,3,376,,
绿春县,云南省,3093,5,4,,246708,526070,135012,148860,242198,15923,259343,259356,293154,880,1614,,9,2149,11816,23594,852,1,50,,
河口瑶族自治县,云南省,1332,4,2,,93419,1102152,153800,337197,611155,34896,258766,438999,423857,103,246,,14,8116,3688,8548,787,,,,
文山市,云南省,2977,7,7,3,517619,3244531,271431,1371400,1601700,231789,582500,2251885,4413413,38,12520,,35,53151,41664,57815,1883,8,1230,,
砚山县,云南省,3822,7,4,,540972,1783850,383085,514950,885815,86737,414416,891984,1057555,651,7583,,40,6062,34277,54158,3251,15,2114,,
西畴县,云南省,1506,7,2,,262519,563525,156861,139821,266843,24808,264895,416689,599651,625,2049,,7,2326,12071,17538,1106,18,539,,
麻栗坡县,云南省,2334,7,4,,297463,866795,173072,314120,379603,36040,349908,555184,620033,26,2653,,11,5633,15383,24727,1315,13,591,,
马关县,云南省,2676,4,9,,389411,1222052,276005,425640,520407,78069,421568,832114,1020584,96,8270,,16,8814,19379,32696,1400,6,294,,
丘北县,云南省,4997,9,3,,575952,1226040,349212,320616,556212,48799,434865,706585,839902,1054,6331,,25,12815,34203,56838,2398,3,128,,
广南县,云南省,7810,11,7,,926378,1669581,490747,468740,710094,55057,681053,1165930,1253033,82,25753,,27,8664,68265,95616,4456,10,948,,
富宁县,云南省,5352,7,6,,462558,1274790,312364,412485,549941,36733,386776,708264,935385,346,4303,,21,6057,31016,42282,1735,15,544,,
景洪市,云南省,6867,5,5,2,402809,3166427,509964,876936,1779527,150149,431278,2790674,3503213,5,409,,66,45571,30704,44268,4772,9,811,,
勐海县,云南省,5368,5,6,,336666,1607296,398784,455642,752870,55321,321302,869335,823200,2607,722,,25,11800,13995,28010,1701,6,470,,
勐腊县,云南省,6861,2,8,,244404,1268081,473811,183036,611234,33599,316120,994496,967080,4766,281,,21,14818,15578,25799,1259,4,284,,
大理市,云南省,1815,1,9,3,648341,4728457,257701,1424326,3046430,375267,705327,4803735,9488940,21,1475,,68,67589,36485,46799,8808,7,958,,
漾濞彝族自治县,云南省,1860,5,4,,106587,351730,114630,79788,157312,22408,137308,261890,215110,14,1550,,18,3049,3998,8410,475,3,294,,
祥云县,云南省,2425,2,8,,482593,1930988,480465,560563,889960,113600,368913,1385171,1539082,5831,4469,,45,27484,26222,25378,2099,8,864,,
宾川县,云南省,2627,2,8,,368856,1432617,639444,239138,554035,56366,262440,945403,1183776,3067,5307,,27,8435,17682,25695,2067,6,199,,
弥渡县,云南省,1524,2,6,,327170,859903,306476,157922,395505,48036,278143,785821,601065,640,5276,,18,4271,12854,17573,1269,7,592,,
南涧彝族自治县,云南省,1739,3,5,,227051,793847,208190,212980,372677,37178,206775,422717,647724,13,1433,,14,6700,11657,15430,959,25,736,,
巍山彝族回族自治县,云南省,2181,6,4,,323690,910523,315304,190294,404925,41567,269600,634956,544324,167,4742,,20,6988,15755,19607,1280,5,457,,
永平县,云南省,2884,4,3,,184761,643517,243150,129707,270660,28608,234704,394373,354919,48,1797,,10,6029,6131,13579,1052,3,260,,
云龙县,云南省,4457,7,4,,208277,704293,164420,279248,260625,36546,220808,395506,431392,9,2098,,8,1400,9756,14491,748,1,93,,
洱源县,云南省,2614,3,6,,300137,780854,306384,132365,342105,40066,250125,673335,837101,48,1376,,17,11146,13675,19859,1135,3,473,,
剑川县,云南省,2250,3,5,,184874,589678,122472,178734,288472,33666,256327,464737,393758,60,417,,14,14023,9774,12582,842,3,258,,
鹤庆县,云南省,2395,2,7,,281449,1113980,231274,474301,408405,70008,293644,918831,750843,3505,938,,17,6344,13571,19071,1412,4,342,,
瑞丽市,云南省,945,3,3,,145272,1670166,148291,260241,1261634,90791,387522,1717229,1788043,67,89,,31,27301,11421,20670,1917,1,108,,
芒 市,云南省,2901,6,5,1,409358,1772150,345330,347868,1078952,80002,374975,1528143,2040137,662,667,,36,50964,26569,38564,5218,5,806,,
