序号,学校名称,预算总收入,高校类型,主管部门,所在省市
Unit,亿元
Remark,
1,清华大学,362.11 ,双一流,教育部,北京市
2,浙江大学,261.03 ,双一流,教育部,浙江省
3,北京大学,219.29 ,双一流,教育部,北京市
4,上海交通大学,204.20 ,双一流,教育部,上海市
5,中山大学,193.05 ,双一流,教育部,广东省
6,复旦大学,171.55 ,双一流,教育部,上海市
7,哈尔滨工业大学,144.18 ,双一流,工业和信息化部,黑龙江省
8,北京航空航天大学,142.84 ,双一流,工业和信息化部,北京市
9,中国科学技术大学,133.85 ,双一流,中国科学院,安徽省
10,西安交通大学,133.72 ,双一流,教育部,陕西省
11,山东大学,130.65 ,双一流,教育部,山东省
12,华中科技大学,129.84 ,双一流,教育部,湖北省
13,同济大学,119.51 ,双一流,教育部,上海市
14,东南大学,119.03 ,双一流,教育部,江苏省
15,武汉大学,118.93 ,双一流,教育部,湖北省
16,北京理工大学,115.90 ,双一流,工业和信息化部,北京市
17,四川大学,110.12 ,双一流,教育部,四川省
18,厦门大学,107.10 ,双一流,教育部,福建省
19,西北工业大学,105.99 ,双一流,工业和信息化部,陕西省
20,吉林大学,103.93 ,双一流,教育部,吉林省
21,北京师范大学,98.97 ,双一流,教育部,北京市
22,中南大学,96.00 ,双一流,教育部,湖南省
23,南京大学,93.47 ,双一流,教育部,江苏省
24,华南理工大学,92.20 ,双一流,教育部,广东省
25,天津大学,84.55 ,双一流,教育部,天津市
26,大连理工大学,82.25 ,双一流,教育部,辽宁省
27,中国人民大学,79.99 ,双一流,教育部,北京市
28,重庆大学,75.47 ,双一流,教育部,重庆市
29,电子科技大学,72.86 ,双一流,教育部,四川省
30,南京航空航天大学,72.57 ,双一流,工业和信息化部,江苏省
31,南京理工大学,67.40 ,双一流,工业和信息化部,江苏省
32,华东师范大学,67.35 ,双一流,教育部,上海市
33,武汉理工大学,65.84 ,双一流,教育部,湖北省
34,湖南大学,64.17 ,双一流,教育部,湖南省
35,中国民用航空飞行学院,63.74 ,,交通运输部（中国民用航空局）,四川省
36,中国农业大学,63.47 ,双一流,教育部,北京市
37,东北大学,62.04 ,双一流,教育部,辽宁省
